provinces,pm10_values,forest_area
Adana,44.8,42.1
Adıyaman,71.0,25.2
Afyonkarahisar,81.0,17.0
Ağrı,47.0,0.5
Amasya,29.0,39.2
Ankara,63.4,15.5
Antalya,53.0,55.8
Artvin,21.0,54.2
Aydın,65.0,38.8
Balıkesir,50.0,44.8
Bilecik,54.5,54.7
Bingöl,30.0,33.1
Bitlis,53.0,19.5
Bolu,78.0,61.9
Burdur,46.0,45.2
Bursa,85.3,44.8
Çanakkale,48.0,53.1
Çankırı,34.0,25.5
Çorum,45.0,35.5
Denizli,72.0,46.3
Diyarbakır,62.0,23.3
Edirne,70.0,12.3
Elazığ,32.0,19.9
Erzincan,53.0,13.4
Erzurum,30.0,9.3
Eskişehir,31.0,25.2
Gaziantep,58.0,12.2
Giresun,49.0,36.1
Gümüşhane,63.0,27.3
Hakkari,85.0,21.5
Hatay,61.5,38.2
Isparta,75.0,41.6
Mersin,52.0,51.2
İstanbul,54.8,44.0
İzmir,41.0,39.9
Kars,47.0,3.5
Kastamonu,34.0,68.1
Kayseri,75.0,6.4
Kırklareli,37.3,40.1
Kırşehir,35.0,3.7
Kocaeli,55.8,43.1
Konya,55.5,12.1
Kütahya,66.0,52.7
Malatya,43.0,15.3
Manisa,86.0,40.1
Kahramanmaraş,68.5,34.9
Mardin,58.0,14.5
Muğla,81.0,66.5
Muş,99.0,8.4
Nevşehir,47.0,1.3
Niğde,68.0,7.1
Ordu,48.0,34.1
Rize,30.0,44.3
Sakarya,64.5,42.0
Samsun,56.0,40.0
Siirt,113.0,36.8
Sinop,36.0,62.0
Sivas,30.0,9.9
Tekirdağ,56.3,16.8
Tokat,49.0,41.6
Trabzon,57.5,41.5
Tunceli,18.0,27.4
Şanlıurfa,49.0,0.5
Uşak,55.0,39.6
Van,49.0,1.4
Yozgat,42.0,16.4
Zonguldak,64.5,68.5
Aksaray,61.0,1.7
Bayburt,53.0,3.8
Karaman,79.0,26.5
Kırıkkale,27.0,9.7
Batman,90.0,15.4
Şırnak,31.0,34.0
Bartın,56.0,47.3
Ardahan,33.0,6.2
Iğdır,106.0,0.0
Yalova,33.0,58.4
Karabük,47.0,69.7
Kilis,29.0,13.6
Osmaniye,68.0,46.0
Düzce,107.0,46.6
